smiles,class_label,pPot_diff,target_pair,cid
Cc1c(CN2CCN(C(=O)C(C)(C)N)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,0,0.17999999999999972,O00329_P42336,0
CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3C)c3ncn(C)c3n2)cc1,0,0.3799999999999999,O00329_P42336,1
Nc1ncc(-c2nc(N3CCOCC3)nc(NC3(CO)CCN(C(=O)OCC(F)F)C3)c2F)cn1,0,0.9400000000000004,O00329_P42336,2
COC(=O)c1ccc(C)c(S(=O)(=O)N(C)N=Cc2cnn3ccc(C#N)cc23)c1,0,0.40000000000000036,O00329_P42336,3
COCC(=O)N1CCC(Oc2ccc3c(c2)N(c2cnc(OC)c(OC)c2)CCO3)C1,0,0.5099999999999998,O00329_P42336,4
CC(=O)N1CC(C)N(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(C)C1,0,0.9499999999999993,O00329_P42336,5
N#Cc1ccc(F)c([S+]([O-])c2nc(-c3cnn4ccc(Br)cc34)cs2)c1,0,0.1800000000000006,O00329_P42336,6
CC(=NN(C)S(=O)(=O)c1cc([N+](=O)[O-])ccc1C)c1cnn2ccc(C#N)cc12,0,0.8099999999999996,O00329_P42336,7
Nc1nc2ccc(-c3cncc(S(=O)(=O)Nc4ccc(Cl)cc4)c3)cn2n1,0,0.20000000000000018,O00329_P42336,8
Cc1ccc(S(C)(=O)=O)cc1S(=O)(=O)N(C)N=Cc1cnn2ccc(C#N)cc12,0,0.2400000000000002,O00329_P42336,9
Cc1nc(C#Cc2cccc3cc(C(C)NC(=O)c4c(N)nn5cccnc45)n(-c4ccccc4)c(=O)c23)cs1,0,0.16999999999999993,O00329_P42336,10
CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,1,2.0999999999999996,O00329_P42336,11
CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,0,0.3000000000000007,O00329_P42336,12
CN(C)CC(=O)N1CCC(c2nc(-c3cnc(N)c(-n4nnc5ccccc54)n3)n(C)n2)CC1,0,0.7199999999999998,O00329_P42336,13
COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)C5CCN(C(C)=O)CC5)C4)c3C2)cc1C,1,2.6599999999999993,O00329_P42336,14
CN(C)CCN(C)c1ccc(S(=O)(=O)c2nc(-c3cnn4ccc(Br)cc34)cs2)cc1C#N,0,0.5800000000000001,O00329_P42336,15
COc1cccc2c1CCN2C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,0,0.5700000000000003,O00329_P42336,16
Nc1cnc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cn1,0,0.03000000000000025,O00329_P42336,17
Cc1c(CN2CCN(C(=O)CN)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,0,0.7800000000000011,O00329_P42336,18
COc1ccc(Nc2ncc(CO)cc2-c2nc(C)nc(N)n2)cn1,0,0.5,O00329_P42336,19
CN(C)C(=O)c1cc(C2CCCN2c2ccc(F)cc2)c2oc(N3CCOCC3)cc(=O)c2c1,0,0.46999999999999975,O00329_P42336,20
COc1ncc(N2CCOc3cnc(OC4CCN(C(=O)OC(C)(C)C)C4)cc32)cc1C(F)(F)F,0,0.45999999999999996,O00329_P42336,21
CNC(=O)c1nc(-c2cnc(N)c(S(=O)(=O)Nc3ccccc3)c2)cnc1N,0,0.4300000000000006,O00329_P42336,22
CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N2CCC(O)CC2)cc2c(=O)cc(N3CCOCC3)oc12,0,0.8899999999999997,O00329_P42336,23
CCC(=O)N1CCC(Oc2ccc3c(c2)N(c2ccc(OC)c(OC)c2)CCO3)C1,0,0.5999999999999996,O00329_P42336,24
COc1ncc(N2CCOc3ccc(OC4CCN(C(=O)C5CCCCC5)C4)cc32)cc1C#N,1,2.0200000000000005,O00329_P42336,25
O=c1cc(N2CCOCC2)nc2n(Cc3cccc(C(F)(F)F)c3)ccn12,0,0.8999999999999995,O00329_P42336,26
Cc1ccc(S(=O)(=O)NCC2CC(O)C2)cc1-c1cncc(-c2cn(C)nc2C)n1,0,0.04999999999999982,O00329_P42336,27
CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(C(F)(F)F)c2)s1,0,0.41999999999999993,O00329_P42336,28
COCCNc1c(-c2ccccc2)c(C(C)Nc2ncnc(N)c2C#N)nc2ccc(F)cc12,1,2.95,O00329_P42336,29
CN(C)CC1(C(N)=O)CCCN1C(=O)Nc1nc2c(s1)-c1nc(C(C)(C)C)ncc1CC2,0,0.5599999999999996,O00329_P42336,30
Nc1ncc(-c2cc(N3C(=O)OC(c4ccccc4)C3CO)nc(N3CCOCC3)n2)c(C(F)(F)F)n1,0,0.5400000000000009,O00329_P42336,31
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1C1CCCCC1,0,0.1200000000000001,O00329_P42336,32
Cc1nnc2n1C1CCN(Cc3cc4nc(-c5cccc(O)c5)nc(N5CCOCC5)c4s3)CC1CC2,1,2.0999999999999996,O00329_P42336,33
O=C(Nc1ccc2cc(C(=O)Nc3nccs3)ccc2c1)c1ccc(Cl)c(Cl)c1,0,0.0,O00329_P42336,34
CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(N(C)C)c1-c1ccccn1,1,2.7,O00329_P42336,35
COc1ncc(N2CCc3ncnc(-c4ccnc(NC5CCN(S(C)(=O)=O)CC5)c4)c3C2)cc1C,1,2.17,O00329_P42336,36
CCNC(=O)c1cc(C(C)Nc2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1,0,0.6900000000000004,O00329_P42336,37
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2cc(Cl)ccc21,0,0.3100000000000005,O00329_P42336,38
Cc1nc(-c2cccnc2Nc2cccc3n[nH]cc23)c2c[nH]nc2n1,0,0.5099999999999998,O00329_P42336,39
C#CCNc1nc(C)nc(-n2c(Nc3ccn[nH]3)nc3ccccc32)n1,0,0.0600000000000005,O00329_P42336,40
Oc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,0,0.1399999999999988,O00329_P42336,41
Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1,0,0.03000000000000025,O00329_P42336,42
