smiles,class_label,pPot_diff,target_pair,cid
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2ccc3ccccc3c2c(=O)n1-c1ccccc1,0,0.009999999999999787,O00329_P48736,43
CC(Nc1nc(N)nc(N)c1C#N)c1nc2cccc(Cl)c2c(=O)n1CC1CCCNC1,1,2.919999999999999,O00329_P48736,1062
Cc1noc(-c2cc(-c3cc(S(=O)(=O)NCCC4(O)CCCCC4)ccc3C)cnc2N)n1,0,0.4299999999999997,O00329_P48736,1063
Cc1ncc(-c2cc(-c3cc(S(=O)(=O)NC4CC(CO)C4)ccc3C)cnc2N)s1,0,0.8799999999999999,O00329_P48736,1064
CC(NC(=O)c1c(N)nn2ccccc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1,0,0.1800000000000006,O00329_P48736,1065
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#CC3CC3)c2c(=O)n1-c1ccccc1,0,0.009999999999999787,O00329_P48736,46
Cc1ncc(-c2cc(-c3cc(S(=O)(=O)NCC4(CO)COC4)ccc3C)cnc2N)o1,2,2.130000000000001,O00329_P48736,1066
Cc1nc(N)nc(-n2c(Nc3n[nH]c4ccccc34)nc3ccccc32)n1,0,0.14999999999999947,O00329_P48736,47
NC(=O)C(Nc1ccc2c(c1)OCCn1cc(N3C(=O)OCC3C(F)F)nc1-2)C1CC1,0,0.0,O00329_P48736,48
CONS(=O)(=O)c1ccc(C)c(-c2cnc(N)c(-c3nc(C)no3)c2)c1,0,0.4299999999999997,O00329_P48736,1067
COc1ccc(-c2cc(OC3CCN(C(=O)C4CC4)C3)cc3c2CNC3=O)cn1,1,2.4799999999999995,O00329_P48736,50
Cc1cc(-c2cc(-c3cc(S(=O)(=O)N4CCCC4(C)C)ccc3C)cnc2N)on1,0,0.8500000000000005,O00329_P48736,1068
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(Cl)c2c(=O)n1CCNS(=O)(=O)C(F)(F)F,0,0.8600000000000003,O00329_P48736,1069
CCS(=O)(=O)Nc1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cnc1OC,0,0.39000000000000057,O00329_P48736,1070
Cc1cccc(-c2nn3c(Cl)cnc3cc2C(C)Nc2ncnc(N)c2C#N)c1,1,2.089999999999999,O00329_P48736,1071
CC(c1nc2c(c(=O)[nH]1)C1CCCN1C(=S)N2c1ccccc1)N1CCOCC1,0,0.6200000000000001,O00329_P48736,1072
CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2n1-c1ccccc1,1,3.8499999999999996,O00329_P48736,1073
Cc1nc2cc(C(C)Nc3ncnc(N)c3C#N)c(-c3ccccc3)nn2c1Cl,1,2.6800000000000006,O00329_P48736,1074
CNC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,0,0.0,O00329_P48736,56
